,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
546,4488.0,Sr. Statistical Programmer (Nationwide - Permanent) - Novella Clinical,Quintiles Inc.,3.9,491.0,,"10,000+",Seattle,Seattle,WA,2016-09-28T12:00,http://job-openings.monster.com/monster/5ec9fa50-188b-4f01-87e0-7b6b7568f74d?mescoid=1500127001001&jobPosition=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,4503.0,Sr. Statistical Programmer (Nationwide - Permanent) - Novella Clinical,Quintiles Inc.,3.9,491.0,,"10,000+",Seattle,Seattle,WA,2016-09-28T12:00,http://job-openings.monster.com/monster/5ec9fa50-188b-4f01-87e0-7b6b7568f74d?mescoid=1500127001001&jobPosition=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,4800.0,Lead Analytics Engineer - Predictive Analytics,HERE,3.8,60.0,,,Seattle,Seattle,WA,2016-09-28T12:00,http://job-openings.monster.com/monster/26c52d7b-b7fe-4ea6-8828-c3b0d32b8244?mescoid=1500127001001&jobPosition=1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
