,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
18,2432.0,Analytical Chemist,"Epic Pharma, LLC",3.0,1.0,"I am very productive and have an attitude to learn faster and implement that technique in to my work. I have employee records for dependability, quality, punctuality and extra effort. I am well organized and maintain proper documentation of all laboratory data in compliance with cGMP & SOP's.",,New-York,Laurelton,NY,2016-10-21T12:00,http://jobview.monster.com/analytical-chemist-job-laurelton-ny-us-174613880.aspx?mescoid=1900259001001&jobPosition=13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,2644.0,Data Scientist - Advertising Product and Platforms,Spotify,4.6,18.0,,"1,001 to 5,000",New-York,New York,NY,2016-10-21T12:00,http://job-openings.monster.com/monster/a4990331-9ee6-473d-9df8-775e08eb982f?mescoid=1500152001001&jobPosition=8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
360,2774.0,Sr Manager Data Scientist,American International Group,3.8,915.0,,"10,000+",New-York,New York,NY,2016-10-21T12:00,http://job-openings.monster.com/monster/6e692a27-fc8c-41f4-b31c-32b5fe0b96e6?mescoid=1100011001001&jobPosition=35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,2803.0,Sr Manager Data Scientist,American International Group,3.8,915.0,,"10,000+",New-York,New York,NY,2016-10-21T12:00,http://job-openings.monster.com/monster/6e692a27-fc8c-41f4-b31c-32b5fe0b96e6?mescoid=1100011001001&jobPosition=29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,3006.0,"Entry Level Geologist I, Environmental",AECOM Technology,3.7,1900.0,,201 to 500,New-York,New York,NY,2016-10-21T12:00,http://job-openings.monster.com/monster/dff2fc5e-7477-4a20-bd35-720f6cf6d8de?mescoid=1900265001001&jobPosition=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,3025.0,Geologist/Hydrogeologist for Hazardous Site Investigation,Weston Solutions Inc.,,,,,New-York,Edison,NJ,2016-10-21T12:00,http://job-openings.monster.com/monster/a026c68b-794d-4b07-b003-908f220710bd?mescoid=1900266001001&jobPosition=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
