,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
38,2452.0,Senior Statistician,Bed Bath and Beyond,3.7,2300.0,,"10,000+",New-York,Union,NJ,2016-11-07T12:00,http://jobview.monster.com/senior-statistician-job-union-nj-us-173573691.aspx?mescoid=1500152001001&jobPosition=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,2514.0,IBM Watson- Data Scientist Internship,City University of New York,4.0,89.0,"-Capitalized on the opportunity to lead forward-thinking data gathering through interviews and / or field observations, along with spearheading data compilation and data entry initiatives, as well as efficiently performing targeted data analysis.-Maximized use of resources to accomplish objectives by scheduling and coordinating meetings and other special events.The environment here at CUNY is very warm and friendly. We are responsible for monitoring the Title IV programs and ensure that all eligible students are being paid.I guess if you are in college and u need additional income its ok, but for an adult that actually has bills to pay, I wouldn't recommend it, you just wont make enough. On the bright side, you get to work with professor and professionals and learn a lotWonderful co-workers loved new challenges but management is not very supportive. Has great potential to be vital part of NYC community. However, there is little promotion possibilities within the organization with only management receiving pay and title raises.Every day a new challenge. Knowing that your work will help future students to achieve their goals more easily is a priceless reward that only jobs in higher education can provide.On a typical day, I come in with a postive mindset and punctual manner. There is always something new to learn. I love to be diligent with my job and work in a professional and organized environment. The library I work for has many different departments which I have the great opportunity to learn the different functions of a college Library. There is room for growth. It helped to update my computer and office skills and learn new systems such as Aldeph and Outlook. I enjoy helping students with research, shelf reading, and training student aides. My job as a library Assistant helped me to gain more confidence with dealing with patrons and faculty. The hardest part of the job for me is dealing with aggressive, impatient students. But no matter the circumstance, I am patient and bring professionalism to the job.This was a temporary appointment, working in the college campus to keep all faculty, students and visitors safe. also being vigilant because there was a beach on campus as well.I was a work study employee so my job was seasonal as needed, but for the most part it was a helpful to me. Sorry I have nothing else to add.Supervising children. Management very friendly. Stable pay and hours given. Most enjoyable part was that it was in my college. No traveling.I enjoy teaching, since it lets me share my knowledge to upcoming graduates who are going to move forward in life. Solving complex problems, writing efficient algorithms is crucial to any software engineer.Talented IT professionals make up a great team.  Salary structures are fairly low.Depending on who your boss is, you can have a lot of latitude to make independent decisions.There was an amazing sense of people wanting to learn as much as they could in a great environment. They really helped me in my development as a person, and educator.enhanced skillset, fun place, good supervisors, great co-workers, challenging environment, nice, good salary, finance, budgeting , flexible timings, good locationI had excellent co-workers who I consider like my family, good athmosphere, excellent bosses.  I worked there for almost 20 years.Just Checking out items as the customer buys. Basically customer Service, answer phone calls. and sometimes Sales floor.The environment of the company was great. Dealing with the students staff and public was awesome. the benefits was excellent. management was good. co workers was ok.Mentoring 10 to 15 tutees and helping them overcome anxiety associated with learning French ● Instructing Grammar, Vocabulary and pronunciation rules in all level of French ● Enhancing overall performance of 10 tutees per week through motivate exercisesDynamic classes and rich texts set the tone of my classes at this is institution. Classes are short and the hourly pay is decent but be prepared to work many hours outside of class.Great management,quiet laid back office setting with friendly staff and co workers. Clean office, restrooms and break lounge stocked with microwaves, coffee makers and TV. Sufficient break time as you tend to sitt behind your desk for long periods of time.Interacting with the public , learning how communication makes all the difference when people are having a bad day and do things they should not be doing .Working for the City University of New York has been a pleasure. I've never meet more passionate individuals who care about assisting students and playing a role in helping them attain their educational goals. I must admit however, the job can be challenging especially at the college level. Many students are selected for Verification in which financial aid personnel are required to ask for documents to verify income household size etc on the FAFSA application. There are various regulations that are in place we must be in compliance with. It can be challenging when trying to be in compliance and  keeping abreast new regulations which change often.",,New-York,New York,NY,2016-11-07T12:00,http://job-openings.monster.com/monster/87773410-543b-41f4-b95b-5758fe5bff6b?mescoid=1500152001001&jobPosition=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,3034.0,Associate Principal Scientist – Bio Process Development,Merck & Co.,4.1,1900.0,,"10,000+",New-York,Kenilworth,NJ,2016-11-07T12:00,http://job-openings.monster.com/monster/3d113110-5383-4769-9c6c-37afbe9e3250?mescoid=1900267001001&jobPosition=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
