,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
47,5209.0,"Staff Scientist, Target Discovery",Takeda Pharmaceuticals North America,4.0,287.0,,"10,000+",San-Diego,San Diego,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/602868af-b70f-49a5-971c-35408c034ee3?mescoid=1900267001001&jobPosition=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,5232.0,Research Scientist,Rangam Consultants Inc,3.8,4.0,"*Ranam Consultants is a hiring agency based out of NJ.*In dealing with them for employment at Mercer, my hiring recruiter was very pleasant and kind.Rangam Consultans is a company that contracts employees to other firms.All interactions were done by phone.I report to a company in Maryland where I have little supervision and contact with others. I have the freedom to do what I do without questions.",,San-Diego,San Diego,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/ca9ce3c5-8407-472e-b07a-89da78503a52?mescoid=1900267001001&jobPosition=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,5233.0,SAS/A Programmer II,Kaiser Permanente,4.2,3900.0,,"10,000+",San-Diego,San Diego,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/1669f604-3506-4d99-829b-aa45ceea7ae4?mescoid=1500127001001&jobPosition=8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,5298.0,"Principal Scientist, Vaccine Immunology / Immuno-Oncology",Pfizer,4.2,1900.0,,"10,000+",San-Diego,La Jolla,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/ac1b31b8-0af9-4c74-b757-27438197a500?mescoid=1900267001001&jobPosition=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,5343.0,"Staff Scientist, Biophysics",Takeda Pharmaceuticals North America,4.0,287.0,,"10,000+",San-Diego,San Diego,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/dcafcaa3-782a-47e5-970e-d4c018a65df7?mescoid=1900267001001&jobPosition=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,5387.0,"Associate Scientist, Biotherapeutics",Celgene Corporation,4.0,97.0,,"1,001 to 5,000",San-Diego,San Diego,CA,2016-09-30T12:00,http://job-openings.monster.com/monster/b217c598-f8de-40b1-a593-4fd90e768d0c?mescoid=1900267001001&jobPosition=23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
