,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
62,1466.0,"Scientist II/Senior Scientist, Protein Science",Boehringer Ingelheim,4.1,309.0,,,Palo-Alto,Fremont,CA,2016-10-01T12:00,http://job-openings.monster.com/monster/e85e936d-ebdb-4314-a8e5-2fbf71f38f4d?mescoid=1900267001001&jobPosition=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1501.0,"Data Scientist, Growth",Coursera,4.7,3.0,"Work from home and study from home from top universities that can recognize your achievement using coursera course certificates that can be posted on linked in in order to let employers find the best employee for a specific positionRewarding work in a stimulating environment. Good management and great teaching staff which strive to develop their team members to the best of their capabilities. Coursera is a great company to work for.People just wouldn't leave work. Because it was fun. They have free dinners and lunches everyday. Also had piano and ping pong. We had a make - a - thon, which was great.",,Palo-Alto,Mountain View,CA,2016-10-01T12:00,http://job-openings.monster.com/monster/8dd34ef1-0897-4f61-95a1-43f19070a376?mescoid=1500152001001&jobPosition=29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
267,1671.0,Data Scientist,Huawei,3.7,236.0,,"10,000+",Palo-Alto,Santa Clara,CA,2016-10-01T12:00,http://job-openings.monster.com/monster/ae1c1d49-f61f-41bb-a52d-f39d10e244ca?mescoid=1500152001001&jobPosition=24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,2128.0,Machine Learning Scientist,Huawei,3.7,236.0,,"10,000+",Palo-Alto,Santa Clara,CA,2016-10-01T12:00,http://job-openings.monster.com/monster/12a4fe1b-d4c2-4eef-aab0-f66c9d0a1da9?mescoid=1900267001001&jobPosition=26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,2153.0,Clinical Pharmacologist I,Gilead Sciences Inc,4.2,6.0,,,Palo-Alto,Foster City,CA,2016-10-01T12:00,http://job-openings.monster.com/monster/6005461e-3c71-4d91-b99e-8c15a340faf5?mescoid=1900254001001&jobPosition=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
